max_depth,n_estimators,learning_rate,subsample,min_child_weight,loss
18,185,0.108806399,0.032183296,1,0.34375
18,344,0.520259124,0.098699151,1,0.34375
7,394,0.211933555,0.17802577,1,0.34375
17,427,0.399532438,0.091072679,3,0.34375
9,381,0.808457229,0.329801106,3,0.34375
13,354,0.528270238,0.227112252,6,0.34375
12,328,0.696366291,0.164750555,6,0.34375
18,165,0.215636232,0.038896822,8,0.34375
8,265,0.463714443,0.257061789,10,0.34375
20,340,0.184190204,0.219790724,10,0.34375
7,212,0.926465672,0.116757704,10,0.34375
5,301,0.334971863,0.152000447,10,0.34375
16,164,0.211080295,0.023408363,2,0.35
8,444,0.865552412,0.202601804,4,0.35
9,214,0.697505788,0.270025777,5,0.35
6,403,0.431544657,0.094983163,8,0.35
7,194,0.454429839,0.155886518,5,0.35625
7,159,0.720392632,0.356674765,9,0.35625
5,155,0.47761271,0.156762261,4,0.3625
5,396,0.61261512,0.150953951,3,0.36875
14,431,0.458993765,0.207675661,3,0.36875
18,220,0.318248024,0.018843162,6,0.36875
12,418,0.910400986,0.104026987,6,0.36875
18,322,0.825145259,0.215441547,7,0.36875
13,421,0.510404903,0.046669732,8,0.36875
18,279,0.69804384,0.358489886,8,0.36875
12,238,0.287807807,0.13974978,9,0.36875
17,277,0.643105039,0.088285108,9,0.36875
7,237,0.301576522,0.156104454,10,0.36875
11,207,0.545092625,0.074970899,6,0.375
11,162,0.480944714,0.229672283,9,0.375
20,213,0.698272262,0.119419551,10,0.375
12,349,0.738836836,0.110831035,1,0.38125
12,390,0.772654037,0.047409644,4,0.38125
9,408,0.656740632,0.130497811,4,0.38125
12,171,0.642968687,0.118353885,7,0.38125
10,394,0.715138767,0.112446141,4,0.3875
20,319,0.873544961,0.057405365,5,0.3875
18,398,0.76294855,0.128821005,7,0.39375
17,369,0.79631728,0.089572363,9,0.39375
9,248,0.702064877,0.187690016,4,0.4
12,222,0.581613752,0.034963718,2,0.40625
9,160,0.604037713,0.039069442,2,0.40625
18,437,0.479825753,0.016142364,3,0.40625
19,173,0.836738386,0.009681983,4,0.40625
