lr,numOfL1,numOfL2,keep_prob,batch_size,loss
0.654482765,53,19,0.410208545,12,214.3989184
0.353560397,43,98,0.738949464,5,219.0977989
0.224685275,122,117,0.778908021,11,255.2488085
0.04654967,7,117,0.714175641,8,275.1041679
0.324397916,47,112,0.718754039,8,282.3338427
0.902818086,40,108,0.703542399,29,327.9838919
0.019622399,25,22,0.844450572,5,333.2082579
0.044570091,38,11,0.523582584,6,373.4437535
0.921839692,107,90,0.476087243,15,374.7966623
0.105867197,106,104,0.740382219,12,383.5216786
0.14153885,78,24,0.230602812,24,388.2558893
0.272579553,19,84,0.631190113,17,389.5457061
0.955719146,57,34,0.309261098,29,394.4783756
0.016675172,64,7,0.191635362,27,420.3642187
0.461676049,126,21,0.47575738,6,424.6987557
0.041594361,100,81,0.848265662,27,441.9128078
0.129320985,30,21,0.038824663,12,564.3160035
0.172295643,70,109,0.858460351,3,573.6649452
0.127123616,86,127,0.908238259,8,602.069281
0.243879511,117,76,0.402989661,23,617.5824615
0.742117242,81,79,0.800010127,6,630.2579709
0.287139973,105,114,0.756566478,19,655.369988
0.037419662,12,5,0.389271252,15,695.6629634
0.468812827,37,59,0.660416732,6,696.7836672
0.469405021,50,98,0.68826352,8,701.253859
0.311405379,71,112,0.986798063,2,715.9206615
0.920273707,116,18,0.447624802,28,755.9221356
0.641663376,32,9,0.467632525,14,769.9940636
0.010654373,67,23,0.640069253,31,795.7535727
0.151482585,33,41,0.243219603,32,798.171669
0.022900827,4,39,0.220358082,22,873.4374124
0.712699247,30,5,0.243059929,4,1037.179923
0.914884715,56,72,0.380377233,24,1101.237504
0.097999514,102,76,0.77103629,3,1220.637175
0.73055501,55,121,0.714532705,15,1278.433521
0.49692128,89,27,0.056764393,9,1279.48513
0.922041678,50,52,0.361273412,24,1395.43733
0.041427093,117,46,0.707443815,6,1471.810734
0.864539335,19,20,0.045833433,25,1500.979566
0.289297229,99,120,0.461934903,14,1536.227646
0.096631784,15,97,0.470480822,4,1645.276841
0.631591083,42,78,0.852195684,4,1658.532816
0.957054635,4,14,0.331493967,7,1895.336399
0.851338702,2,81,0.247353188,23,1988.711045
0.019936514,32,82,0.830490392,31,2023.046172
0.056439554,72,57,0.577038993,5,2038.194674
0.428674235,36,12,0.352371658,11,2466.399983
0.902822358,91,116,0.776701923,8,2600.371158
0.976492293,45,70,0.650128477,5,3040.227936
0.211364754,18,50,0.544070191,3,3630.55688
0.081818522,99,117,0.555377325,30,4303.985035
0.981031256,100,79,0.794954802,15,4923.313203
0.963352369,54,75,0.552842407,29,5726.260994
0.855331179,22,32,0.638924795,5,5812.078659
0.309720736,84,107,0.500449716,24,6116.576266
0.530029383,9,61,0.408627811,9,8924.470229
0.132043176,70,24,0.426033919,3,9121.594339
0.960672207,57,90,0.743065754,23,10289.98027
0.603723391,26,18,0.034854337,30,18243.9693
0.682889793,104,47,0.582895569,4,22056.04409
0.774914554,24,122,0.427533653,25,23669.3699
0.035101975,52,122,0.431009809,21,24579.96566
0.0222498,112,61,0.53662631,9,26397.70008
0.017902472,37,59,0.384930012,18,28872.16898
0.47852795,8,52,0.1458189,14,30995.98914
0.038793862,11,113,0.118907287,25,33326.25136
0.448068118,91,76,0.732257888,3,34335.83667
0.001568941,26,53,0.753996942,27,34377.17428
0.844756985,80,22,0.066614109,28,34635.44762
0.638711073,116,72,0.395678625,15,40120.30077
0.436624864,127,7,0.168583898,28,46439.16952
0.946755043,9,41,0.466599064,6,49580.95971
0.069418226,100,86,0.474764885,4,75675.01404
0.994074507,85,57,0.622311305,5,75773.95519
0.729388266,68,27,0.406422687,6,88658.39795
0.426707061,67,46,0.326708602,16,98393.22876
0.032301365,86,35,0.187441162,16,100356.4938
0.208478813,123,105,0.311787183,27,149918.2233
0.748641263,103,96,0.016926975,29,177625.2708
0.047189647,39,49,0.412139693,2,200992.4229
0.2659432,88,126,0.531960748,4,213874.1907
0.051223028,115,127,0.311824814,20,226762.5946
0.126218622,46,56,0.088950784,20,287767.8372
0.371551423,65,55,0.534587752,2,299536.1208
0.063249597,42,110,0.204505386,26,333830.0645
0.023638265,18,10,0.155504617,16,347681.9159
0.810748998,55,67,0.00898203,22,360790.2313
0.008672926,91,124,0.471804135,5,389092.3568
0.949651004,91,118,0.483276993,16,433794.8369
0.928273526,117,115,0.006657541,9,504108.8418
0.090032787,84,46,0.113785109,25,610271.1432
0.67448653,49,125,0.668157265,6,636395.093
0.853420501,36,100,0.341879133,20,642615.7357
0.125351551,116,20,0.238703588,2,699687.4529
0.774669456,16,34,0.343601542,9,730893.188
0.237687873,32,103,0.329266756,18,902908.2465
0.379497512,39,23,0.253426322,11,1183216.063
0.060713912,11,120,0.224066733,2,1686676.387
0.002662701,125,58,0.316667276,13,1958068.665
0.449335384,20,59,0.196946799,32,2269143.049
0.825316444,66,71,0.347261058,25,4061423.368
0.045446439,43,80,0.174841727,6,4867804.243
