sort_buffer_size,join_buffer_size,table_open_cache,thread_cache_size,query_cache_limit,max_allowed_packet,max_connect_errors,tmp_table_size,max_heap_table_size,innodb_autoextend_increment,innodb_buffer_pool_size,innodb_additional_mem_pool_size,innodb_log_buffer_size,QPS
2288,494,308,116,3004,12301,164,101733,76146,157896,937,12616,8819,7496.21
2676,269,1878,22,2084,8904,505,120012,54853,164785,1315,8624,16142,7018.98
2720,1682,1899,78,1657,8969,340,22366,114843,428259,2795,15760,19182,7308.72
2155,1490,1479,128,1078,12923,795,124985,86094,223321,2302,14980,4821,7210.57
1788,1193,1780,15,2973,2187,1052,111054,122801,103093,2158,6719,13006,7866.17
2598,517,1663,21,2399,3059,774,121630,122938,220595,1885,7684,28935,7494.58
2018,877,1042,54,1638,7570,388,32432,2412,245410,3987,5526,17549,7744.81
2417,409,1515,77,2675,8363,844,53640,83507,490513,2858,11538,19190,7614.97
1903,1481,1621,38,1867,15963,1057,104713,50115,104399,2849,18459,4322,7384.99
2990,1043,1861,82,2332,9548,480,128105,110221,457777,1579,3754,24831,6863.57
2781,323,1051,78,2027,6112,1603,73837,29959,252341,1236,12239,5283,7368.67
702,1161,320,105,1058,8726,1224,70882,88644,143259,1621,11512,16905,7299.9
519,564,456,66,2907,5549,1020,48864,114206,126887,624,12987,26522,7734.15
313,1352,1174,23,1117,9872,1850,130719,56088,202295,2126,4585,19840,7861.54
3173,1432,1120,124,2306,10033,11,86203,46594,414105,3554,20292,10389,7752.09
3766,638,1238,80,2215,12241,1703,111650,78666,59543,3685,8069,5795,6974.14
3686,241,1017,113,1729,5836,1516,106454,50390,492861,553,1087,32232,6982.17
222,1377,952,102,2865,15964,467,86502,51242,54498,217,7715,14495,7530.54
2684,1031,599,44,2784,3914,1017,57522,49686,461319,2591,6112,29962,7143.5
1577,1700,1585,106,2452,14024,863,41865,10832,167086,4067,18319,14660,7739.87
950,748,542,83,1610,5733,18,46038,26155,330228,1222,3600,22204,6992.25
3267,1927,588,49,1224,6211,743,65741,44014,151501,3455,18121,9753,7411.34
