num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
14,10,29,7,7,13,9,4,44,59,lz4,1,30.23,0.033079722
16,11,10,12,8,20,4,17,61,64,lz4,1,29.59,0.033795201
1,14,68,15,9,17,14,40,46,35,none,1,27.18,0.036791759
5,9,14,14,5,11,12,36,21,52,snappy,1,26.87,0.037216226
14,7,15,14,8,13,28,10,41,87,gzip,1,14.66,0.068212824
9,9,72,16,7,13,30,25,3,71,gzip,1,17.11,0.058445354
20,15,90,12,19,11,17,31,62,62,none,1,30.19,0.033123551
13,10,69,2,16,2,16,32,30,23,lz4,1,28.7,0.034843206
6,24,20,19,11,16,8,42,61,98,lz4,1,30.12,0.033200531
7,7,77,10,14,6,9,44,55,31,none,1,27.89,0.035855145
13,1,96,7,14,3,20,41,36,17,snappy,1,29.96,0.033377837
1,23,16,9,17,14,10,20,53,55,gzip,1,13.89,0.07199424
15,4,18,13,2,15,17,5,58,75,gzip,1,14.77,0.067704807
1,5,64,8,8,13,26,44,39,2,gzip,1,12.53,0.07980846
12,3,55,1,9,19,12,28,6,98,gzip,1,17.54,0.057012543
15,12,43,5,17,11,10,5,44,91,gzip,1,15.17,0.065919578
12,15,27,10,17,5,24,8,17,79,snappy,1,24.41,0.040966817
13,12,28,5,18,12,30,43,15,12,lz4,1,28.49,0.035100035
15,17,60,19,17,18,16,15,40,71,gzip,1,13.67,0.07315289
2,17,32,7,5,3,5,10,33,8,lz4,1,19.7,0.050761421
14,18,71,15,2,12,28,48,8,0,snappy,1,19.04,0.052521008
14,2,29,14,11,15,7,32,5,14,lz4,1,14.43,0.069300069
19,20,99,18,9,14,15,22,64,17,none,1,28.62,0.034940601
19,5,39,15,18,2,15,43,59,36,lz4,1,28.74,0.034794711
18,9,35,4,19,6,27,46,56,2,gzip,1,12.65,0.079051383
7,10,57,13,9,9,27,8,32,57,snappy,1,23.12,0.043252595
16,22,56,10,9,15,16,6,48,76,snappy,1,28.67,0.034879665
16,3,3,8,19,12,17,13,9,9,none,1,23.91,0.041823505
17,15,50,8,18,18,6,7,54,9,snappy,1,18.45,0.054200542
11,5,77,20,15,10,10,47,27,9,lz4,1,29.21,0.034234851
16,3,68,16,13,6,14,19,25,90,none,1,28.95,0.034542314
15,23,78,17,2,1,4,11,33,100,gzip,1,14.38,0.069541029
17,15,23,7,17,18,10,32,18,0,none,1,29.64,0.033738192
6,12,55,20,12,6,23,14,15,38,snappy,1,26.61,0.037579857
16,13,44,2,4,16,14,45,41,87,lz4,1,24.37,0.041034058
20,24,19,9,14,15,21,5,9,66,none,1,24.07,0.041545492
19,10,87,19,6,8,29,42,6,56,lz4,1,20.66,0.048402711
9,4,22,11,7,9,25,45,57,58,gzip,1,9.83,0.1017294
