XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
64,128,256,org.apache.coyote.http11.Http11Protocol,8192,500,50,500,100,200,FALSE,20000,TRUE,1024,6427.561383
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,200,100,500,100,50,TRUE,20000,FALSE,2048,7403.751234
64,64,128,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,500,100,200,TRUE,10000,FALSE,1024,6958.296609
256,256,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,50,75,10,200,TRUE,30000,FALSE,2048,8237.684661
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,50,200,TRUE,20000,FALSE,2048,7966.434755
64,128,256,org.apache.coyote.http11.Http11AprProtocol,16384,200,25,250,10,50,TRUE,30000,FALSE,2048,7977.450407
256,64,512,org.apache.coyote.http11.Http11Protocol,16384,1000,50,250,10,200,FALSE,30000,FALSE,2048,6834.024329
64,128,256,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,75,50,100,TRUE,20000,FALSE,1024,7700.205339
256,64,512,org.apache.coyote.http11.Http11NioProtocol,4096,500,100,500,10,200,TRUE,20000,FALSE,1024,7765.180929
64,128,128,org.apache.coyote.http11.Http11NioProtocol,16384,1000,50,75,100,200,FALSE,10000,FALSE,1024,6993.659082
64,128,128,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,75,100,50,FALSE,10000,FALSE,1024,7852.580882
64,128,128,org.apache.coyote.http11.Http11NioProtocol,16384,200,25,75,50,200,FALSE,10000,TRUE,1024,7461.944085
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,1000,25,75,50,100,FALSE,20000,FALSE,1024,8161.488656
128,64,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,50,75,100,100,FALSE,30000,TRUE,2048,8245.382586
128,256,256,org.apache.coyote.http11.Http11Protocol,8192,200,100,250,10,50,FALSE,10000,FALSE,1024,6579.235931
128,64,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,75,50,100,TRUE,20000,TRUE,1024,7570.02271
128,64,256,org.apache.coyote.http11.Http11Protocol,16384,500,25,500,100,100,TRUE,10000,TRUE,2048,8141.996418
128,256,256,org.apache.coyote.http11.Http11NioProtocol,8192,200,50,250,100,200,FALSE,20000,TRUE,1024,7803.558423
64,64,128,org.apache.coyote.http11.Http11Protocol,8192,500,100,75,100,50,FALSE,30000,TRUE,2048,6617.549742
128,256,256,org.apache.coyote.http11.Http11Protocol,4096,200,25,500,10,200,TRUE,10000,FALSE,1024,6191.694873
64,128,256,org.apache.coyote.http11.Http11Protocol,8192,1000,100,75,100,100,TRUE,10000,TRUE,2048,6640.694174
64,64,128,org.apache.coyote.http11.Http11Protocol,16384,1000,50,250,100,50,TRUE,20000,TRUE,1024,7531.632858
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,500,25,250,50,100,FALSE,20000,FALSE,1024,8037.723717
256,64,512,org.apache.coyote.http11.Http11Protocol,16384,1000,50,75,50,200,FALSE,10000,FALSE,2048,7690.730107
128,64,256,org.apache.coyote.http11.Http11Protocol,16384,200,25,500,50,50,TRUE,20000,FALSE,1024,7241.129616
64,64,128,org.apache.coyote.http11.Http11AprProtocol,16384,200,100,500,100,200,FALSE,10000,TRUE,2048,9074.410163
128,64,256,org.apache.coyote.http11.Http11AprProtocol,8192,1000,50,75,100,100,FALSE,10000,FALSE,1024,8037.723717
128,128,256,org.apache.coyote.http11.Http11NioProtocol,4096,200,25,250,100,50,TRUE,20000,TRUE,2048,7558.198126
256,64,512,org.apache.coyote.http11.Http11Protocol,4096,500,100,500,50,50,TRUE,10000,TRUE,2048,6965.728615
256,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,25,75,50,200,TRUE,30000,FALSE,1024,7741.136399
256,128,512,org.apache.coyote.http11.Http11Protocol,16384,200,50,250,10,100,FALSE,20000,TRUE,2048,5973.477759
128,128,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,100,250,10,100,TRUE,30000,TRUE,1024,7686.00123
64,128,128,org.apache.coyote.http11.Http11Protocol,16384,200,25,250,100,100,TRUE,20000,FALSE,1024,6826.870563
