num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,ack,T,1/T
19,23,21,0,19,10,23,47,32,12,snappy,1,23.28,0.042955326
19,23,56,18,19,13,23,14,32,69,snappy,1,26.57,0.037636432
19,23,50,0,19,10,23,33,32,28,snappy,1,30.02,0.033311126
19,23,50,0,19,10,23,47,32,67,snappy,1,28.88,0.034626039
19,23,53,0,19,10,23,47,32,12,snappy,1,29.47,0.033932813
19,23,50,0,19,10,23,25,40,12,snappy,1,29.89,0.033456005
19,14,32,0,19,10,24,20,56,32,snappy,1,30.35,0.032948929
19,23,50,0,19,10,23,28,20,10,snappy,1,28.82,0.034698126
18,0,99,5,17,10,19,39,43,76,snappy,1,30.61,0.032669062
12,23,64,0,10,14,7,11,13,13,snappy,1,28.01,0.035701535
0,17,81,4,18,1,13,29,28,57,snappy,1,24.43,0.040933279
16,22,79,7,4,11,9,6,5,26,snappy,1,16.63,0.060132291
19,18,72,17,13,2,12,24,35,31,snappy,1,30.83,0.032435939
5,2,43,13,8,18,15,33,33,12,snappy,1,30.05,0.03327787
2,12,23,0,19,12,29,47,2,52,snappy,1,15.59,0.064143682
1,21,37,6,5,10,0,21,9,21,snappy,1,19.94,0.050150451
3,23,87,10,1,4,27,34,47,5,snappy,1,19.61,0.050994391
4,3,8,1,7,16,21,44,63,29,snappy,1,27.66,0.03615329
15,20,16,19,14,0,25,7,48,24,snappy,1,24.66,0.0405515
17,7,60,11,6,8,22,30,8,23,snappy,1,19.01,0.052603893
6,11,74,12,0,15,1,8,29,50,snappy,1,14.69,0.068073519
14,13,62,4,3,3,23,26,4,34,snappy,1,10.48,0.095419847
7,5,83,14,11,9,14,9,1,58,snappy,1,14.42,0.069348128
9,9,61,15,18,5,2,43,26,43,snappy,1,28.68,0.034867503
19,10,75,16,2,10,20,27,16,51,none,1,23.15,0.043196544
13,16,25,9,19,17,9,5,7,75,snappy,1,26.52,0.037707391
18,6,2,2,15,13,28,31,51,30,gzip,1,13.94,0.071736011
16,4,55,0,10,11,26,32,17,20,snappy,1,28.45,0.035149385
12,23,97,5,17,1,18,41,30,82,none,1,30.5,0.032786885
5,19,93,18,18,10,4,16,36,16,snappy,1,23.91,0.041823505
19,17,20,4,19,14,8,10,27,70,snappy,1,30.88,0.03238342
2,0,28,7,8,18,23,0,44,74,gzip,1,13.69,0.073046019
3,23,65,17,4,12,17,46,32,41,snappy,1,27.54,0.036310821
0,14,78,13,13,2,11,18,54,36,none,1,25.87,0.038654813
4,22,80,0,5,4,6,1,11,85,snappy,1,24.03,0.041614648
1,18,66,6,7,16,13,15,59,84,gzip,1,14.8,0.067567568
15,23,11,10,1,8,24,35,38,17,snappy,1,19.41,0.051519835
19,12,98,1,14,10,19,19,52,33,none,1,27.67,0.036140224
8,2,67,11,6,3,23,40,21,96,snappy,1,26.41,0.037864445
6,7,82,12,19,0,12,3,22,3,snappy,1,23.53,0.042498938
14,15,50,19,0,17,27,36,18,63,gzip,1,11.79,0.084817642
9,21,94,0,18,15,29,37,61,38,snappy,1,28.2,0.035460993
7,13,70,14,11,19,21,13,55,92,none,1,29.12,0.034340659
13,11,44,4,3,10,9,38,23,55,snappy,1,23.95,0.041753653
17,3,86,15,15,5,15,2,31,35,gzip,1,14.89,0.067159167
19,23,77,2,2,13,0,33,12,86,snappy,1,22.07,0.045310376
12,5,90,16,12,10,7,12,6,68,snappy,1,17.57,0.056915196
18,9,18,0,19,9,25,17,32,49,none,1,28.65,0.034904014
16,20,63,9,17,1,1,47,41,72,snappy,1,27.52,0.036337209
19,10,59,18,18,14,14,28,25,83,gzip,1,13.47,0.07423905
5,6,96,5,10,18,23,22,15,12,snappy,1,27.03,0.03699593
0,16,3,4,19,11,2,4,19,64,snappy,1,24.56,0.040716612
2,23,76,7,5,2,22,43,46,9,none,1,26.16,0.0382263
3,14,45,13,13,16,20,11,50,15,snappy,1,27.44,0.036443149
1,4,38,17,8,10,5,25,34,18,snappy,1,25.18,0.039714059
4,23,19,0,7,4,16,39,37,60,gzip,1,13.42,0.074515648
19,19,31,10,4,12,8,14,63,53,snappy,1,26.41,0.037864445
15,17,91,6,1,0,26,20,10,42,none,1,21.85,0.04576659
8,22,22,1,14,8,28,24,62,40,snappy,1,30.04,0.033288948
6,0,27,11,19,19,4,29,0,65,lz4,1,14.25,0.070175439
19,17,68,4,19,14,8,7,45,70,snappy,1,26.23,0.038124285
19,17,20,4,19,14,9,10,27,56,snappy,1,28.26,0.035385704
19,17,50,4,19,14,8,10,14,24,snappy,1,28.1,0.035587189
19,17,20,4,19,14,8,10,58,25,snappy,1,24.48,0.040849673
19,17,20,4,19,14,8,30,20,70,snappy,1,29.24,0.034199726
19,17,42,4,19,14,8,10,27,98,snappy,1,27.11,0.036886758
