repl-backlog-size,hash-max-ziplist-value,hash-max-ziplist-entries,list-max-ziplist-size,active-defrag-ignore-bytes,active-defrag-threshold-lower,hll-sparse-max-bytes,hz,requests per second
4,54,854,-2,227,6,10625,491,45248.87
4,88,976,-2,296,6,5656,228,44052.86
5,65,658,-1,101,19,3006,461,41322.31
10,45,555,-2,205,13,7886,457,45871.56
2,61,633,-3,167,9,431,20,47393.37
1,101,272,-3,117,6,8010,234,44444.45
1,98,786,-2,230,15,2781,179,46296.3
2,118,273,-2,236,6,10386,317,47393.37
3,78,756,-2,201,14,4186,162,44642.86
10,42,701,-4,100,12,1350,404,46511.63
1,45,575,-3,181,8,9790,265,25984.31
6,113,628,-1,263,14,10527,246,46296.3
10,53,573,-3,244,15,9153,24,46948.36
7,107,659,-5,270,9,3973,386,44052.86
7,32,534,-3,209,16,4435,78,44444.45
4,40,737,-3,277,15,14464,219,46082.95
3,125,470,-2,282,15,12765,414,42553.19
1,54,1022,-1,292,12,12747,247,47619.05
9,38,963,-3,129,16,14688,408,41322.31
4,86,848,-4,173,6,8111,161,46082.95
3,82,519,-5,214,8,1501,270,47846.89
8,44,1002,-4,130,20,7339,145,45662.1
1,72,481,-1,170,16,11822,117,44642.86
1,96,517,-2,202,20,11888,492,39062.5
8,109,514,-3,176,9,12109,88,45248.87
5,48,887,-4,288,14,4643,310,47169.81
5,88,639,-1,160,14,5155,58,45662.1
9,119,264,-2,154,20,11942,81,45871.56
7,97,840,-3,159,12,9082,492,45454.55
1,88,950,-4,254,13,1322,123,44247.79
4,106,701,-1,196,7,14880,184,46082.95
7,42,890,-2,193,14,3940,141,46948.36
7,65,415,-5,106,16,2616,228,42194.09
10,83,985,-1,138,10,10467,37,45871.56
7,125,486,-4,280,8,5714,189,44247.79
1,113,354,-4,234,8,10964,336,42735.04
9,38,814,-2,256,19,9200,474,46511.63
3,49,787,-1,298,9,9195,364,46728.97
4,94,293,-5,125,13,6023,176,47619.05
8,59,522,-4,159,12,12019,34,42194.09
6,44,456,-4,198,7,3749,270,46511.63
5,44,896,-3,260,5,10021,299,42194.09
9,69,741,-5,201,9,10217,367,35932.54
8,87,732,-4,234,10,9957,249,46948.36
7,89,563,-2,187,12,10814,482,44444.45
6,106,354,-2,128,7,3802,183,45045.04
3,105,526,-4,186,18,124,406,46948.36
8,43,575,-1,277,13,9655,102,42735.04
9,108,889,-4,102,13,8718,500,30262.75
5,109,1014,-5,145,10,2681,272,39099.61
6,119,988,-1,219,10,9989,177,46296.3
9,99,826,-4,267,15,12219,407,49019.61
6,124,706,-3,295,5,3508,338,42016.8
5,56,905,-4,204,16,2361,418,47393.37
