XX:MaxNewSize,Xms,Xmx,protocol,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount,enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
512,128,512,org.apache.coyote.http11.Http11Protocol,8192,1000,25,500,50,50,FALSE,30000,TRUE,2048,1355.809644
256,512,512,org.apache.coyote.http11.Http11NioProtocol,16384,200,50,500,50,100,TRUE,20000,TRUE,2048,8173.050727
256,256,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,100,75,50,50,TRUE,30000,FALSE,2048,8414.675194
128,256,256,org.apache.coyote.http11.Http11NioProtocol,16384,500,50,75,100,100,TRUE,30000,TRUE,1024,8041.170794
256,512,512,org.apache.coyote.http11.Http11Protocol,16384,500,50,250,10,50,FALSE,20000,TRUE,2048,8073.631519
512,512,512,org.apache.coyote.http11.Http11NioProtocol,4096,1000,25,500,10,100,FALSE,30000,FALSE,1024,7927.699382
128,512,512,org.apache.coyote.http11.Http11Protocol,4096,200,50,500,10,200,TRUE,10000,FALSE,2048,6159.152501
128,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,500,50,500,10,200,TRUE,30000,TRUE,2048,7631.645892
128,128,256,org.apache.coyote.http11.Http11Protocol,16384,200,100,250,100,50,TRUE,10000,TRUE,1024,6115.709218
512,512,512,org.apache.coyote.http11.Http11NioProtocol,8192,200,100,75,10,200,FALSE,30000,FALSE,1024,7497.750675
256,128,512,org.apache.coyote.http11.Http11NioProtocol,8192,500,100,75,50,100,TRUE,10000,TRUE,2048,7601.864991
128,512,512,org.apache.coyote.http11.Http11Protocol,4096,1000,25,75,100,100,TRUE,20000,FALSE,2048,7071.46898
128,256,256,org.apache.coyote.http11.Http11AprProtocol,4096,500,50,75,100,200,FALSE,10000,TRUE,2048,8760.14717
256,128,256,org.apache.coyote.http11.Http11AprProtocol,8192,200,100,500,10,200,TRUE,20000,TRUE,2048,1107.836838
128,128,256,org.apache.coyote.http11.Http11Protocol,4096,200,50,250,10,200,TRUE,20000,FALSE,2048,6684.491979
128,128,512,org.apache.coyote.http11.Http11AprProtocol,4096,200,50,75,50,100,FALSE,10000,TRUE,2048,8571.428571
