Protocol, MaxNewSize,Xms, Xmx ,maxHttpHeaderSize,maxThreads,minSpareThreads,maxSpareThreads,minProcessors,acceptCount, enableLookups,connectionTimeout,disableUploadTimeout,compressionMinSize,90th
org.apache.coyote.http11.Http11Protocol,128,256,128,8192,1000,25,250,10,50,TRUE,10000,TRUE,1024,9278.159213
org.apache.coyote.http11.Http11AprProtocol,64,64,256,16384,500,50,500,100,100,TRUE,10000,TRUE,1024,9269.558769
org.apache.coyote.http11.Http11Protocol,64,256,256,4096,200,50,75,100,100,TRUE,20000,FALSE,2048,9266.123054
org.apache.coyote.http11.Http11Protocol,64,256,256,4096,200,50,75,100,100,TRUE,20000,FALSE,2048,9266.123054
org.apache.coyote.http11.Http11Protocol,128,128,512,16384,1000,50,75,50,200,FALSE,20000,FALSE,1024,9252.405625
org.apache.coyote.http11.Http13NioProtocol,64,128,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,9248.412356
org.apache.coyote.http11.Http13NioProtocol,256,256,128,4096,200,25,250,100,100,TRUE,10000,FALSE,2048,9241.574764
org.apache.coyote.http11.Http11AprProtocol,128,128,512,16384,200,100,75,10,50,FALSE,10000,FALSE,1024,9237.021984
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9222.256379
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,9212.627441
org.apache.coyote.http11.Http11AprProtocol,128,128,512,16384,200,100,75,10,50,FALSE,10000,FALSE,1024,9212.627441
org.apache.coyote.http11.Http11AprProtocol,64,128,256,4096,500,100,500,50,50,TRUE,30000,TRUE,2048,9211.495947
org.apache.coyote.http11.Http13NioProtocol,64,256,128,8192,1000,50,250,100,200,FALSE,20000,TRUE,2048,9205.277693
org.apache.coyote.http11.Http11AprProtocol,64,256,128,8192,200,100,500,100,100,FALSE,10000,FALSE,2048,9204.148003
org.apache.coyote.http11.Http11AprProtocol,64,256,128,8192,200,100,500,100,100,FALSE,10000,FALSE,2048,9204.148003
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,500,50,75,100,50,TRUE,20000,TRUE,1024,9194.556822
org.apache.coyote.http11.Http13NioProtocol,128,256,128,4096,1000,25,75,50,200,FALSE,20000,FALSE,2048,9188.924283
org.apache.coyote.http11.Http13NioProtocol,128,256,128,4096,1000,25,75,50,200,FALSE,20000,FALSE,2048,9188.924283
org.apache.coyote.http11.Http11AprProtocol,64,128,256,16384,1000,25,250,100,100,TRUE,10000,TRUE,1024,9181.050312
org.apache.coyote.http11.Http11AprProtocol,64,128,256,16384,1000,25,250,100,100,TRUE,10000,TRUE,1024,9181.050312
org.apache.coyote.http11.Http11AprProtocol,64,128,256,4096,500,100,250,50,100,FALSE,20000,FALSE,2048,9165.902841
org.apache.coyote.http11.Http11AprProtocol,256,256,512,16384,500,50,75,10,50,FALSE,20000,FALSE,1024,9165.342784
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,9149.688911
org.apache.coyote.http11.Http11NioProtocol,256,256,128,4096,200,25,250,100,100,TRUE,10000,FALSE,2048,9145.783794
org.apache.coyote.http11.Http11Protocol,256,128,128,4096,500,100,500,50,200,TRUE,30000,FALSE,2048,9142.439203
org.apache.coyote.http11.Http11Protocol,64,256,256,4096,200,50,75,100,100,TRUE,20000,FALSE,2048,9141.324883
org.apache.coyote.http11.Http11Protocol,64,256,256,4096,200,50,75,100,100,TRUE,20000,FALSE,2048,9141.324883
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9140.767824
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9140.767824
org.apache.coyote.http11.Http11Protocol,256,128,128,16384,200,25,250,50,100,FALSE,10000,FALSE,2048,9127.418766
org.apache.coyote.http11.Http11Protocol,256,128,128,4096,500,100,250,50,200,TRUE,30000,FALSE,2048,9122.422916
org.apache.coyote.http11.Http11Protocol,256,128,128,4096,500,100,250,50,200,TRUE,30000,FALSE,2048,9122.422916
org.apache.coyote.http11.Http11Protocol,256,128,128,16384,500,25,75,10,50,FALSE,20000,TRUE,2048,9119.095386
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,9115.770283
org.apache.coyote.http11.Http11AprProtocol,64,256,128,4096,200,50,250,100,100,FALSE,30000,TRUE,1024,9113.554894
org.apache.coyote.http11.Http13NioProtocol,64,256,256,8192,500,25,75,50,200,FALSE,30000,TRUE,2048,9110.787172
org.apache.coyote.http11.Http11AprProtocol,64,128,256,4096,500,100,500,50,100,TRUE,30000,TRUE,2048,9108.021131
org.apache.coyote.http11.Http11AprProtocol,64,128,256,4096,500,100,500,50,100,TRUE,30000,TRUE,2048,9108.021131
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,200,50,75,100,100,TRUE,30000,TRUE,2048,9106.915184
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,9105.809506
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,9105.809506
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,500,50,75,100,50,TRUE,20000,TRUE,1024,9105.256768
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,500,50,75,100,50,TRUE,20000,TRUE,1024,9105.256768
org.apache.coyote.http11.Http13NioProtocol,256,128,128,16384,1000,25,75,50,200,FALSE,10000,FALSE,1024,9103.046486
org.apache.coyote.http11.Http11Protocol,64,64,256,4096,200,100,500,10,50,TRUE,10000,TRUE,1024,9071.666163
org.apache.coyote.http11.Http11NioProtocol,64,128,256,8192,200,100,500,50,200,FALSE,10000,TRUE,2048,9056.877189
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,1000,50,250,10,200,TRUE,20000,FALSE,1024,9054.69033
org.apache.coyote.http11.Http11AprProtocol,64,128,256,16384,1000,25,250,100,100,TRUE,10000,TRUE,1024,9029.617144
org.apache.coyote.http11.Http11AprProtocol,128,128,512,16384,200,100,75,10,50,FALSE,10000,FALSE,1024,9027.443428
org.apache.coyote.http11.Http13NioProtocol,64,128,512,8192,200,25,250,100,100,TRUE,20000,TRUE,2048,9026.900162
org.apache.coyote.http11.Http11Protocol,128,128,512,16384,1000,50,75,50,200,FALSE,20000,FALSE,1024,9020.386073
org.apache.coyote.http11.Http11Protocol,128,128,512,16384,1000,50,75,50,200,FALSE,20000,FALSE,1024,9020.386073
org.apache.coyote.http11.Http11AprProtocol,256,256,512,16384,500,50,75,10,50,FALSE,20000,FALSE,1024,9003.061041
org.apache.coyote.http11.Http14NioProtocol,64,256,128,8192,1000,50,250,100,200,FALSE,20000,TRUE,2048,9001.980436
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,500,50,75,100,50,TRUE,20000,TRUE,1024,8999.280058
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,500,50,75,100,50,TRUE,20000,TRUE,1024,8999.280058
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,1000,50,250,10,200,TRUE,20000,FALSE,1024,8988.494727
org.apache.coyote.http11.Http11NioProtocol,256,128,128,4096,1000,100,250,50,200,FALSE,10000,TRUE,1024,8972.365115
org.apache.coyote.http11.Http11AprProtocol,64,256,128,8192,200,100,500,100,100,FALSE,10000,FALSE,2048,8968.609865
org.apache.coyote.http11.Http11AprProtocol,128,256,512,16384,1000,100,500,10,50,FALSE,30000,FALSE,2048,8961.644163
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,FALSE,20000,FALSE,1024,8953.08583
org.apache.coyote.http11.Http13NioProtocol,64,256,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,8946.144212
org.apache.coyote.http11.Http13NioProtocol,64,256,512,16384,200,100,75,50,200,FALSE,30000,TRUE,2048,8946.144212
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,8945.610687
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,8945.610687
org.apache.coyote.http11.Http11AprProtocol,256,256,512,8192,1000,25,500,10,100,FALSE,30000,TRUE,2048,8945.077226
org.apache.coyote.http11.Http11Protocol,128,64,128,4096,500,50,500,10,50,TRUE,30000,FALSE,1024,8934.953538
org.apache.coyote.http11.Http11Protocol,128,64,128,4096,500,50,500,10,50,TRUE,30000,FALSE,1024,8934.953538
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,FALSE,20000,FALSE,1024,8934.421347
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,FALSE,20000,FALSE,1024,8934.421347
org.apache.coyote.http11.Http13NioProtocol,64,256,128,16384,1000,50,250,100,200,FALSE,20000,TRUE,2048,8931.761343
org.apache.coyote.http11.Http13NioProtocol,64,256,128,16384,1000,50,250,100,200,FALSE,20000,TRUE,2048,8931.761343
org.apache.coyote.http11.Http11Protocol,128,256,128,8192,1000,25,500,10,50,TRUE,20000,TRUE,2048,8926.977325
org.apache.coyote.http11.Http11Protocol,64,64,256,4096,200,100,500,10,50,TRUE,10000,TRUE,1024,8923.259964
org.apache.coyote.http11.Http11Protocol,64,64,256,4096,200,100,500,10,50,TRUE,10000,TRUE,1024,8923.259964
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,FALSE,20000,FALSE,1024,8922.729165
org.apache.coyote.http11.Http11Protocol,128,128,128,8192,200,25,250,50,200,FALSE,20000,FALSE,1024,8922.729165
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,8917.424648
org.apache.coyote.http11.Http13NioProtocol,128,64,256,4096,200,100,500,100,50,TRUE,10000,FALSE,1024,8917.424648
org.apache.coyote.http11.Http11AprProtocol,256,128,256,16384,1000,25,250,10,100,TRUE,30000,FALSE,2048,8916.894543
org.apache.coyote.http11.Http11Protocol,64,256,256,4096,200,50,75,100,100,TRUE,20000,FALSE,2048,8910.00891
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,500,100,75,10,50,TRUE,10000,TRUE,1024,8902.605496
org.apache.coyote.http11.Http11AprProtocol,256,128,256,4096,500,100,75,10,50,TRUE,10000,TRUE,1024,8902.605496
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,500,50,75,100,50,TRUE,20000,TRUE,1024,8899.9644
org.apache.coyote.http11.Http11Protocol,256,256,256,16384,500,50,75,100,50,TRUE,20000,TRUE,1024,8899.9644
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,8899.436369
org.apache.coyote.http11.Http11Protocol,128,256,256,8192,200,25,250,50,200,TRUE,20000,TRUE,2048,8899.436369
org.apache.coyote.http11.Http11Protocol,256,128,128,16384,500,25,75,10,50,FALSE,20000,TRUE,2048,8898.908401
org.apache.coyote.http11.Http11Protocol,128,128,512,16384,1000,50,75,50,200,FALSE,20000,FALSE,1024,8896.797153
org.apache.coyote.http11.Http11Protocol,64,256,256,4096,200,50,75,100,100,TRUE,20000,FALSE,2048,8893.632159
org.apache.coyote.http11.Http12NioProtocol,256,128,128,16384,1000,25,75,50,200,FALSE,10000,FALSE,1024,8892.577662
