innodb_log_buffer_size,innodb_additional_mem_pool_size,max_allowed_packet numeric,innodb_buffer_pool_size,thread_cache_size,max_connect_errors,tmp_table_size,join_buffer_size,max_heap_table_size,innodb_autoextend_increment,table_open_cache,query_cache_limit,sort_buffer_size,QPS
15919,17595,5859,6818,68,1376,8217,759,11039,445581,1891,2900,3700,727200
11940,13327,10877,7409,59,77,27638,1187,66638,350067,1204,1122,1513,790500
13038,3928,9892,3474,93,256,115201,375,72010,494690,1299,1788,1903,761460
13595,17064,3519,6483,8,1834,111773,1353,22501,136961,982,1395,1227,732180
14301,10879,4072,4324,61,951,24532,701,39813,198563,1149,1254,3024,773780
15322,13850,13984,3222,49,1139,50718,280,9363,365809,1737,1484,1602,781280
15826,17848,5828,6945,64,1414,8861,786,11820,447759,1835,2921,3722,816840
16409,15142,14631,2669,10,661,49443,1740,55927,309638,329,1598,1999,781820
17308,9562,6312,4553,57,1204,83624,418,82829,241624,1223,2859,1941,768660
18076,1325,15754,2950,16,1352,66144,1036,63046,194484,310,1746,3367,747900
18623,7311,11825,6355,132,2005,42113,844,24297,102449,1912,1785,149,775920
19175,8083,12797,7481,27,1512,60976,1389,27803,460450,1441,2131,567,704560
19771,4958,13425,5582,43,225,36673,1128,124205,253874,775,1976,1266,841880
20737,12916,12092,1281,132,1996,56940,1744,125828,312130,2069,2619,1509,771740
21610,6190,4975,106,19,605,54311,178,18432,170159,827,1131,2852,831360
22109,4416,7958,5536,98,1826,90052,1824,4161,260988,1556,1850,2133,746840
23007,1153,8805,3924,79,1687,88324,245,99008,146854,219,1676,3032,826580
23807,2083,2944,990,36,864,29899,1213,16631,333156,458,2314,2914,719880
24804,7941,9615,646,56,1533,62654,1548,113382,220099,1356,2986,927,709420
25371,12474,7382,7673,142,128,35018,1946,70471,37621,1588,1486,2373,722820
22650,4097,7859,5484,95,1824,92330,1844,3557,264549,1612,1896,2165,807200
23337,1207,8557,3780,77,1670,88108,259,99821,155268,175,1658,3027,823480
23509,2510,3164,1005,35,849,31565,1132,14042,325360,374,2371,2893,786800
24661,7994,9343,873,55,1523,62575,1543,114610,219084,1330,2985,1011,716800
25006,12422,7127,7689,121,207,34417,1987,71443,38251,1509,1537,2452,716540
25895,19259,3659,4920,74,1462,81347,950,75435,280843,1613,1354,412,886580
26098,19099,3812,4889,72,1380,81440,1023,76931,275631,1696,1221,497,708940
26403,10449,15144,2275,30,1515,109167,589,88077,421227,1117,1787,2490,747500
26311,10246,15033,2308,27,1567,108543,621,88725,422026,1068,1867,2471,767020
27454,11647,5482,8167,31,347,12583,1620,95906,73802,683,1958,649,780400
28401,8908,10606,3571,25,1873,104012,1942,55487,507825,1780,1662,3511,789400
29045,5628,14518,526,96,554,124634,756,47708,342067,839,1889,2246,789620
29552,19766,15348,1479,113,444,126588,1924,108660,50362,1707,2265,1047,826800
30227,18162,11571,4450,69,1176,16568,637,35481,404456,1799,1730,4101,804540
31179,6839,2836,5096,138,1293,46749,759,120636,92968,1448,1188,1089,789840
31374,5385,9177,2682,110,931,17870,1540,7367,476622,471,1176,276,774860
4431,18820,6509,5156,15,1567,21121,1685,90622,128249,864,2773,3894,820460
4257,14238,10091,2098,79,829,97218,403,58272,177502,208,2431,2527,770120
4560,1514,2130,7115,117,681,94429,474,38752,296641,1063,2095,777,762840
5475,9461,6753,6046,106,72,76162,993,111244,390497,618,2516,1640,750560
6548,1806,8480,5875,87,505,76720,1187,78457,383955,508,1391,3726,831420
6758,16697,7444,1654,59,415,38952,1945,116742,109739,1916,2672,2650,757560
7987,3099,2783,3954,84,334,68053,1999,45212,65530,391,1523,3197,755740
8201,16146,12342,7958,98,706,116404,1410,50202,464754,921,1951,2080,810420
9483,15573,2566,6630,44,1695,105660,1306,85659,428017,1993,1172,3522,769400
9616,11451,4673,215,37,1062,100540,1482,30855,8616,1429,1226,453,794460
10575,2606,13446,1601,101,1874,119728,428,103505,228272,661,2360,3907,732000
11055,14888,2380,1874,74,988,72925,857,100700,25781,512,1342,3388,770600
12355,13256,10988,7176,55,46,26245,1144,66712,352268,1166,1173,1321,745680
12813,3867,9835,3391,92,238,113622,292,71720,497101,1238,1716,1727,789560
13312,17348,3314,6530,8,1712,110779,1249,20769,136591,946,1338,1203,761020
14473,10869,4030,4232,62,929,24388,637,40148,200223,1093,1139,3056,796300
