num.network.threads,num.io.threads,queued.max.requests,num.replica.fetchers,socket.receive.buffer.bytes,socket.send.buffer.bytes,socket.request.max.bytes,buffer.memory,batch.size,linger.ms,compression.type,acks,T,1/T
8,5,12,8,16,7,28,38,27,3,snappy,1,28.22,0.035435861
2,11,33,13,10,14,28,17,34,79,gzip,1,12.67,0.078926598
17,12,66,19,1,15,29,21,7,89,lz4,1,13.59,0.073583517
4,14,29,1,17,6,1,18,36,39,none,1,26.61,0.037579857
7,16,7,15,12,16,2,31,1,25,none,1,13.76,0.072674419
5,15,89,9,19,7,2,9,22,42,snappy,1,27.22,0.036737693
2,4,41,5,3,17,3,10,4,54,snappy,1,11.23,0.089047195
13,17,21,9,12,13,4,19,54,71,lz4,1,28.76,0.034770515
12,9,52,18,10,12,5,34,12,81,snappy,1,24.11,0.041476566
7,17,43,15,14,12,5,30,15,29,lz4,1,25.27,0.039572616
14,23,96,14,18,1,6,22,39,65,lz4,1,28.25,0.03539823
3,4,10,3,5,9,7,47,49,74,snappy,1,23.94,0.041771094
15,3,76,6,18,19,7,43,38,64,snappy,1,29.29,0.034141345
9,22,59,17,19,2,8,9,41,7,none,1,28.01,0.035701535
6,14,1,11,14,2,9,11,54,76,none,1,27.79,0.035984167
18,20,55,3,9,8,10,45,52,31,none,1,29.16,0.034293553
16,8,49,8,11,13,10,1,33,90,gzip,1,11.3,0.088495575
14,6,54,6,3,5,11,2,9,52,gzip,1,13.73,0.072833212
1,2,3,5,15,19,12,41,13,69,gzip,1,15.19,0.065832785
9,2,63,13,1,14,13,26,56,13,snappy,1,14.35,0.069686411
6,6,19,15,4,3,13,28,3,33,none,1,14.2,0.070422535
2,9,93,1,16,10,14,37,61,85,lz4,1,18.97,0.052714813
1,19,25,12,8,6,15,24,32,58,gzip,1,13.39,0.074682599
12,10,98,8,2,7,15,39,23,18,snappy,1,15.35,0.06514658
8,21,86,19,6,18,16,24,58,98,gzip,1,13.42,0.074515648
11,22,72,17,4,8,17,16,59,44,none,1,22.17,0.045105999
4,7,28,17,3,17,18,14,44,15,lz4,1,19.93,0.050175615
18,12,68,7,14,11,18,17,10,7,gzip,1,15.08,0.066312997
10,19,83,2,16,19,19,35,46,95,none,1,28.95,0.034542314
17,15,73,11,13,10,20,42,63,92,gzip,1,10.59,0.094428706
10,1,90,4,7,4,20,33,16,62,gzip,1,13.08,0.076452599
3,13,17,10,9,12,22,4,7,84,snappy,1,17.6,0.056818182
8,16,39,10,2,4,22,31,21,55,none,1,17.78,0.05624297
16,18,61,2,5,15,22,4,49,10,none,1,23.53,0.042498938
14,11,79,14,6,1,23,39,29,47,lz4,1,26.32,0.037993921
15,1,46,12,12,9,24,27,25,45,lz4,1,28.79,0.034734283
19,6,14,19,8,3,25,7,46,1,snappy,1,21.3,0.046948357
13,21,80,16,11,16,26,46,18,36,lz4,1,26.95,0.037105751
19,23,36,3,17,11,27,13,28,22,gzip,1,13.64,0.073313783
11,8,30,4,7,5,27,6,42,23,lz4,1,23.85,0.041928721
8,5,11,8,16,7,27,37,26,2,snappy,1,28.51,0.035075412
2,11,33,12,10,14,29,17,34,79,gzip,1,13.21,0.075700227
17,12,67,19,1,15,29,21,7,88,lz4,1,12.92,0.077399381
4,13,29,1,18,6,1,19,36,39,none,1,25.4,0.039370079
7,16,6,15,12,16,2,32,1,25,none,1,15.05,0.066445183
5,15,88,10,19,6,2,8,21,40,snappy,1,22.87,0.043725404
2,4,41,5,3,17,3,10,5,53,snappy,1,10.65,0.093896714
13,17,21,9,13,13,4,19,55,71,lz4,1,25.42,0.039339103
12,9,51,18,10,13,5,34,13,82,snappy,1,23.56,0.042444822
6,17,43,15,14,11,5,29,15,29,lz4,1,22.68,0.044091711
14,23,96,13,18,1,6,22,39,66,lz4,1,26.12,0.038284839
3,4,8,3,6,9,6,47,50,74,snappy,1,22.64,0.044169611
15,3,75,6,18,19,8,43,37,63,snappy,1,22.13,0.045187528
9,21,58,18,19,2,8,9,41,5,none,1,22.58,0.04428698
6,14,2,11,14,2,9,12,54,76,none,1,25.67,0.03895598
18,20,57,3,9,8,10,45,51,30,none,1,23.2,0.043103448
16,8,49,8,11,13,10,1,33,92,gzip,1,11.44,0.087412587
15,5,53,6,3,5,11,2,10,51,gzip,1,11.25,0.088888889
1,2,5,5,15,19,12,42,14,67,gzip,1,13.78,0.07256894
9,2,63,13,1,15,13,25,57,12,snappy,1,13.11,0.076277651
5,6,19,15,4,3,13,28,3,33,none,1,13.43,0.074460164
2,9,93,1,15,10,14,36,62,85,lz4,1,24.16,0.041390728
1,19,25,12,9,6,15,25,32,58,gzip,1,12.77,0.078308536
12,10,99,9,2,8,15,38,24,19,snappy,1,18.42,0.054288817
