list-max-ziplist-size,hz,hash-max-ziplist-entries,hll-sparse,repl-backlog,hash-max-ziplist-value,active-defrag-threshold,active-defrag-ignore,requests per second
-1,167,843,1571,1,73,12,279,35971.22
-1,96,567,4127,4,90,10,125,40160.64
-1,396,697,13193,3,51,6,162,41322.31
-1,411,364,3177,5,93,14,159,46948.36
-1,443,466,2219,9,119,17,267,42735.04
-1,275,498,4623,2,87,8,273,49751.24
-1,326,727,13992,7,46,10,176,43668.12
-4,134,474,7566,7,96,9,224,47846.89
-4,219,512,7249,4,124,19,133,50251.26
-4,489,371,9778,1,36,14,153,48543.69
-4,23,807,4068,3,111,11,144,48076.92
-4,65,907,6499,10,106,16,117,23980.82
-4,108,272,751,3,98,14,147,28653.29
-4,351,997,379,2,44,4,285,38759.69
-4,421,928,8430,2,113,13,165,48076.92
-4,307,413,9235,5,55,8,282,47846.89
-4,296,954,14724,10,127,8,231,35842.29
-3,139,622,12593,0,116,12,294,33112.59
-3,382,294,126,6,50,18,206,40983.61
-3,157,553,14536,9,58,18,194,25125.63
-3,230,407,11571,8,80,15,236,45871.56
-3,86,337,12335,1,78,4,200,39062.5
-3,271,321,12850,4,75,15,255,44247.79
-3,247,528,2270,6,100,7,198,46511.63
-3,56,744,10827,0,69,20,136,40160.64
-3,35,754,5226,7,86,12,181,39370.08
-3,46,687,8019,6,70,10,264,41152.26
-2,484,658,10983,10,110,11,226,44843.05
-2,177,673,13839,7,82,20,185,47846.89
-2,313,433,6028,8,105,16,242,29850.75
-2,209,913,1451,8,41,6,123,40485.83
-2,190,1006,3689,1,39,17,211,25706.94
-2,462,976,10302,9,53,12,295,49261.09
-2,121,603,2915,6,64,17,245,44052.86
-2,434,594,5252,2,32,6,214,46082.95
-2,372,775,9379,3,67,6,253,38167.94
-2,467,887,7012,8,35,5,170,46511.63
-1,4,864,8845,4,122,9,108,47393.37
-1,262,282,11804,4,103,19,110,43103.45
-1,340,821,5871,5,61,15,101,48076.92
-1,169,849,1581,1,72,11,279,47846.89
-1,95,580,4266,4,91,10,127,44052.86
-1,397,701,13466,3,52,7,164,41322.31
-1,411,369,3009,5,93,14,154,48309.18
-1,440,459,2003,9,120,17,269,36496.35
-1,275,489,4802,2,88,8,274,48309.18
-1,326,726,14125,7,47,10,175,28818.44
-4,135,481,7828,7,96,9,220,23310.02
-4,222,509,7311,4,123,19,131,38022.81
-4,497,373,9774,1,37,14,153,25000
-4,16,793,4087,3,111,11,142,36101.08
-4,62,893,6684,10,106,16,116,43290.04
-4,104,262,1079,3,98,13,147,40322.58
-4,352,990,695,2,45,4,286,49504.95
-4,414,945,8557,2,115,13,167,45045.04
-4,305,419,9360,5,56,7,284,34013.61
-4,294,963,14763,9,126,8,232,47169.81
-3,141,637,12605,0,116,13,290,43668.12
-3,377,297,103,6,48,18,209,43859.65
-3,151,545,14513,9,58,18,191,49019.61
-3,230,401,11516,8,80,15,237,47619.05
-3,81,337,12003,1,78,5,204,38610.04
-3,270,314,12943,5,76,15,257,41493.78
-3,246,535,2584,6,99,7,195,41493.78
-3,58,750,10848,0,69,19,134,46082.95
-3,31,765,5121,7,84,12,184,46296.3
-3,46,691,7970,6,71,10,261,30864.2
-2,486,652,10936,10,110,10,227,38610.04
-2,178,661,13874,7,84,20,187,31055.9
-2,313,442,6041,8,104,16,241,34013.61
-2,201,916,1482,8,41,6,124,34843.21
-2,194,1023,3581,1,39,17,211,35335.69
-2,461,983,10406,9,54,12,294,41666.67
-2,121,610,2659,6,64,17,247,36496.35
-2,426,597,5387,2,32,5,219,35211.27
-2,371,792,9498,3,66,6,254,35211.27
-2,465,876,6774,8,35,5,172,39840.64
-1,4,860,8986,4,121,9,108,40816.32
-1,256,286,11753,4,102,19,110,42016.8
-1,337,820,5677,5,60,15,101,42918.46
-1,174,835,1601,1,74,11,279,50251.26
-1,98,576,4305,4,89,10,126,47169.81
-1,399,716,13446,3,51,7,159,35714.29
-1,405,352,3126,5,93,14,155,40650.41
-1,438,448,2181,9,118,17,266,35714.29
-1,279,497,4780,2,87,8,273,44247.79
-1,330,734,13995,7,46,10,178,36231.89
-4,130,469,7615,8,95,9,224,40000
-4,221,506,7135,4,124,19,130,47846.89
-4,494,388,9932,1,37,15,150,29585.8
-4,13,797,4027,4,113,12,140,46296.3
-4,72,907,6403,10,106,17,116,44444.45
-4,104,267,762,3,98,14,148,41666.67
-4,361,994,631,2,43,5,289,49261.09
-4,419,945,8345,3,115,14,165,48076.92
-4,309,417,9198,5,56,8,284,33003.3
-4,296,955,14832,10,126,8,231,43103.45
-3,146,632,12591,1,116,13,290,38022.81
-3,385,299,117,6,48,18,207,50000
-3,157,552,14577,9,58,19,191,47393.37
-3,234,394,11258,9,80,15,235,44642.86
-3,86,349,12220,1,79,5,199,30674.85
-3,267,315,12800,5,76,15,255,27027.03
-3,238,532,2359,6,100,7,195,30303.03
-3,57,736,10626,1,68,19,138,36764.7
-3,29,757,5209,8,84,13,179,46511.63
